,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
187,Bishoujo Senshi Sailor Moon,8.2,383.0,271,45335,20905,finished,61,383,7.71,146521,Drama
188,Shingetsutan Tsukihime,8.2,384.0,396,33803,14493,finished,74,384,7.1,90713,Action
189,Diamond no Ace,8.2,388.0,741,18768,7867,finished,418,388,8.25,81384,Sports
190,Kimi to Boku.,8.19,392.0,1502,10015,1727,currently_publishing,0,392,7.85,86196,Comedy
191,Non Non Biyori,8.19,393.0,1536,9728,2099,finished,125,393,8.05,133475,Comedy
195,Ao Haru Ride,8.17,425.0,43,155551,79429,finished,53,425,7.89,227417,Romance
196,Binbougami ga!,8.18,402.0,807,17367,6465,finished,81,402,7.88,117091,Adventure
197,Fate/kaleid liner Prisma☆Illya 3rei!!,8.18,404.0,1804,8355,2919,currently_publishing,0,404,7.62,30457,Action
198,Kareshi Kanojo no Jijou,8.18,405.0,394,33945,13267,finished,108,405,7.66,94165,Romance
199,H2,8.17,419.0,1630,9236,4240,finished,338,419,7.39,4450,Comedy
200,Sayonara Zetsubou Sensei,8.16,433.0,506,26022,7020,finished,302,433,8.03,174531,Comedy
201,Beelzebub,8.16,437.0,78,107029,58931,finished,250,437,8.04,217752,Action
204,Tonari no Kaibutsu-kun,8.16,440.0,99,94806,41452,finished,55,440,7.77,349836,Comedy
205,Shingeki no Kyojin: Kuinaki Sentaku,8.16,441.0,268,45450,24478,finished,8,441,8.45,92543,Action
206,Donten ni Warau,8.15,450.0,668,20491,6350,finished,29,450,7.62,57649,Action
207,Chrno Crusade,8.15,452.0,514,25773,12353,finished,59,452,7.8,140865,Action
208,Maison Ikkoku,8.15,453.0,1067,13592,4491,finished,162,453,8.25,22079,Romance
210,Baby Steps,8.15,457.0,598,22639,9255,finished,462,457,7.96,59818,Sports
211,Kuroko no Basket,8.15,458.0,160,69295,36124,finished,276,458,8.46,338315,Sports
213,Full Metal Panic!,7.81,1104.0,932,15219,6932,finished,58,1104,7.81,256325,Action
214,Cardcaptor Sakura: Clear Card-hen,8.14,466.0,1068,13577,3686,currently_publishing,0,466,,6737,Adventure
215,Amaama to Inazuma,8.14,468.0,689,19984,5466,finished,63,468,7.63,95339,Comedy
217,Date A Live,7.06,6695.0,2706,5734,2204,finished,6,6695,7.54,301358,Romance
219,Katekyo Hitman Reborn!,8.13,474.0,73,112291,62704,finished,411,474,8.37,258103,Action
220,Sakigake!! Cromartie Koukou,8.13,475.0,1289,11645,3185,finished,335,475,8.02,67254,Comedy
221,Boku no Chikyuu wo Mamotte,8.13,477.0,1631,9222,2496,finished,138,477,7.29,7254,Fantasy
222,Majin Tantei Nougami Neuro,8.13,478.0,767,18179,6563,finished,203,478,7.76,42730,Supernatural
223,Gantz,8.12,483.0,26,188020,94856,finished,383,483,7.27,165335,Action
224,Wild Adapter,8.12,484.0,2233,6850,1473,on_hiatus,52,484,6.36,5196,Action
225,Bokurano,8.12,485.0,476,27456,9463,finished,66,485,7.82,81408,Drama
226,Futatsu no Spica,8.12,488.0,3141,4936,1072,finished,97,488,7.47,5894,Drama
228,Ore Monogatari!!,8.11,499.0,466,28182,9613,finished,52,499,8.11,200833,Comedy
229,X,8.11,502.0,647,21025,7727,on_hiatus,158,502,7.56,51004,Action
230,Shijou Saikyou no Deshi Kenichi,8.11,505.0,175,63735,34436,finished,584,505,8.25,129112,Action
232,Magi: Sinbad no Bouken,8.1,516.0,452,29554,11202,finished,182,516,8.06,52351,Action
233,Gokusen,8.1,519.0,977,14610,6221,finished,156,519,7.48,22009,Action
234,Hokuto no Ken,8.1,520.0,407,32955,12937,finished,245,520,7.99,40271,Action
235,Shigurui,8.1,521.0,637,21238,6763,finished,84,521,7.54,50091,Action
237,Gunslinger Girl,8.09,524.0,656,20782,6253,finished,100,524,7.55,106865,Action
238,Soul Eater,8.09,525.0,39,157060,71747,finished,117,525,8.08,580184,Action
239,Hotarubi no Mori e,8.09,527.0,750,18513,8487,finished,4,527,8.61,197439,Romance
241,Nekota no Koto ga Kininatte Shikatanai.,8.09,530.0,1483,10157,4094,finished,49,530,6.41,612,Romance
242,Gangsta.,8.09,542.0,230,52595,14730,currently_publishing,0,542,7.5,210752,Action
243,Mahou Shoujo Madoka★Magica,8.08,546.0,397,33564,17168,finished,12,546,8.51,462974,Fantasy
245,Yamada-kun to 7-nin no Majo,8.08,548.0,80,105667,48892,finished,246,548,7.37,23937,Comedy
246,High Score Girl,8.08,549.0,919,15398,5311,finished,65,549,,2670,Romance
248,Getter Robo Go,8.08,558.0,5632,2571,1218,finished,28,558,6.46,696,Action
249,Tanaka-kun wa Itsumo Kedaruge,8.08,561.0,583,23239,7000,finished,145,561,8.1,101335,Comedy
250,Vassalord.,8.07,567.0,999,14363,5109,finished,36,567,7.11,15114,Action
251,Capeta,8.07,570.0,4699,3164,851,finished,119,570,7.91,9711,Sports
253,Byousoku 5 Centimeter,8.0,680.0,494,26876,13354,finished,11,680,8.1,324035,Drama
256,Kokoro Connect,7.56,2205.0,1837,8216,2622,finished,32,2205,8.01,283847,Supernatural
258,Kyoukaisenjou no Horizon,7.11,6139.0,9480,1328,161,finished,42,6140,7.29,90977,Action
260,Log Horizon,7.39,3328.0,3323,4630,1029,on_hiatus,10,3328,8.14,387100,Action
261,Naruto,8.06,582.0,5,367809,244557,finished,700,582,7.81,683297,Action
